"","District","Region","Subzone","Property Type","address","Ascendas_Building","lease","sqft","sqm","psf","lon","lat"
"13773","D23","WEST REGION","BUKIT BATOK SOUTH","Light Industrial","21 bukit batok crescent , singapore","Non-Ascendas Building","60-year Leasehold",1184,110,2.7,103.7596018,1.3370611
"13774","D23","WEST REGION","BUKIT BATOK SOUTH","Light Industrial","21 bukit batok crescent , singapore","Non-Ascendas Building","60-year Leasehold",969,90,1.55,103.7596018,1.3370611
"13775","D03","CENTRAL REGION","ALEXANDRA HILL","Light Industrial","237 alexandra road , singapore","Non-Ascendas Building","Unknown Tenure",1066,99,3.36,103.8137922,1.2911937
"13776","D15","CENTRAL REGION","MARINE PARADE","Office","80 marine parade road , singapore","Non-Ascendas Building","99-year Leasehold",1130,105,5.31,103.9051552,1.3014702
"13777","D13","CENTRAL REGION","JOO SENG","Light Industrial","76 playfair road , singapore","Non-Ascendas Building",NA,2452,228,1.79,103.8865176,1.3364817
"13778","D14","EAST REGION","KAKI BUKIT","Factory / Workshop","25 kaki bukit road 4 , singapore","Non-Ascendas Building",NA,1216,113,2.06,103.9105927,1.3397733
"13779","D20","NORTH-EAST REGION","YIO CHU KANG","Light Industrial","3 ang mo kio street 62 , singapore","Non-Ascendas Building","60-year Leasehold",2153,200,2.65,103.8449205,1.3862158
"13780","D25","NORTH REGION","KRANJI","Factory / Workshop","60 jalan lam huat , singapore","Non-Ascendas Building","Unknown Tenure",2668,248,1.5,103.7529932,1.4310105
"13781","D26","NORTH-EAST REGION","TAGORE","Light Industrial","9 tagore lane , singapore","Non-Ascendas Building","Freehold",3484,324,0.89,103.826064,1.3839947
"13782","D27","NORTH REGION","SENOKO WEST","Factory / Workshop","61 woodlands industrial park e9 , singapore","Non-Ascendas Building","30-year Leasehold",2261,210,1.99,103.7986239,1.4492286
"13783","D14","EAST REGION","KAKI BUKIT","Factory / Workshop","7 kaki bukit road 1 , singapore","Non-Ascendas Building",NA,3507,326,2.7,103.9009292,1.3345119
"13784","D14","EAST REGION","KAKI BUKIT","Factory / Workshop","1 kaki bukit road 1 , singapore","Non-Ascendas Building","Unknown Tenure",2142,199,2.1,103.9018151,1.3330524
"13785","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",1668,155,1.3,103.8160436,1.4432352
"13786","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",1668,155,1.2,103.8160436,1.4432352
"13787","D14","EAST REGION","KEMBANGAN","Light Industrial","28 senang crescent , singapore","Non-Ascendas Building","Freehold",1980,184,1.21,103.9182282,1.3274171
"13788","D03","CENTRAL REGION","ALEXANDRA HILL","Light Industrial","3791 jalan bukit merah , singapore","Non-Ascendas Building","99-year Leasehold",1886,175,2.76,103.8115787,1.2852514
"13789","D05","CENTRAL REGION","PASIR PANJANG 2","Light Industrial","100 pasir panjang road , singapore","Non-Ascendas Building","Freehold",1430,133,3.15,103.7957745,1.2755048
"13790","D03","CENTRAL REGION","ALEXANDRA HILL","Light Industrial","8 jalan kilang timor , singapore","Non-Ascendas Building",NA,1284,119,2.73,103.8095967,1.2845817
"13791","D27","NORTH REGION","SEMBAWANG NORTH","Factory / Workshop","8a admiralty street , singapore","Non-Ascendas Building","60-year Leasehold",3872,360,2.07,103.8147431,1.4630794
"13792","D13","CENTRAL REGION","KALLANG WAY","Light Industrial","47 kallang pudding road , singapore","Non-Ascendas Building",NA,947,88,2.43,103.8792847,1.328866
"13793","D01","CENTRAL REGION","CHINA SQUARE","Office","133 amoy street , singapore","Non-Ascendas Building",NA,1819,169,6.5,103.848326,1.283086
"13794","D22","WEST REGION","TUKANG","Factory / Workshop","nythal road , singapore","Non-Ascendas Building",NA,16076,1493,1.19,103.6993034,1.3262051
"13795","D22","WEST REGION","TUKANG","Factory / Workshop","nythal road , singapore","Non-Ascendas Building",NA,7480,695,1,103.6993034,1.3262051
"13796","D25","NORTH REGION","GALI BATU","Factory / Workshop","6d mandai estate , singapore","Non-Ascendas Building","Freehold",1237,115,2.1,103.7576706,1.4064918
"13797","D27","NORTH REGION","SENOKO WEST","Factory / Workshop","190 woodlands industrial park e5 , singapore","Non-Ascendas Building","60-year Leasehold",8000,743,1.62,103.7921948,1.452132
"13798","D25","NORTH REGION","GALI BATU","Factory / Workshop","6d mandai estate , singapore","Non-Ascendas Building","Freehold",1450,135,1.93,103.7576706,1.4064918
"13799","D27","NORTH REGION","SEMBAWANG NORTH","Light Industrial","10 admiralty street , singapore","Non-Ascendas Building","Unknown Tenure",10367,963,1.35,103.8125315,1.4624441
"13800","D25","NORTH REGION","SENOKO SOUTH","Office","woodlands terrace , singapore","Non-Ascendas Building",NA,3676,342,1.5,103.8079265,1.4520034
"13801","D25","NORTH REGION","MIDVIEW","Factory / Workshop","woodlands avenue 9 , singapore","Non-Ascendas Building",NA,7300,678,1.85,103.7986104,1.4482327
"13802","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","61 ubi road 1 , singapore","Non-Ascendas Building","60-year Leasehold",2756,256,2.54,103.8908174,1.3325244
"13803","D21","CENTRAL REGION","SWISS CLUB","Office","896 dunearn road , singapore","Non-Ascendas Building","Unknown Tenure",6079,565,4,103.7836817,1.336791
"13804","D23","WEST REGION","HILLVIEW","Light Industrial","63 hill view ave , singapore","Non-Ascendas Building",NA,1585,147,1.58,103.763132,1.3570307
"13805","D22","WEST REGION","TUAS VIEW","Warehouse","2 tuas view place , singapore","Non-Ascendas Building","Unknown Tenure",31434,2920,1.11,103.630437,1.297553
"13806","D22","WEST REGION","TUAS VIEW","Factory / Workshop","tech park crescent , singapore","Non-Ascendas Building",NA,18564,1725,1.35,103.6299768,1.3098319
"13807","D03","CENTRAL REGION","PEARL'S HILL","Office","151 chin swee road , singapore","Non-Ascendas Building","99-year Leasehold",538,50,3.72,103.8408451,1.2870826
"13808","D14","EAST REGION","KAKI BUKIT","Factory / Workshop","61 kaki bukit avenue 1 , singapore","Non-Ascendas Building","Unknown Tenure",6912,642,1.74,103.9105819,1.3372029
"13809","D03","CENTRAL REGION","PEARL'S HILL","Office","151 chin swee road , singapore","Non-Ascendas Building","99-year Leasehold",753,70,3.32,103.8408451,1.2870826
"13810","D01","CENTRAL REGION","RAFFLES PLACE","Office","51 telok ayer street , singapore","Non-Ascendas Building",NA,17000,1579,7.5,103.8492521,1.282991
"13811","D25","NORTH REGION","GALI BATU","Light Industrial","31 mandai estate , singapore","Non-Ascendas Building","Freehold",2970,276,1.52,103.757972,1.4050786
"13812","D12","CENTRAL REGION","KALLANG BAHRU","Light Industrial","2 kallang avenue , singapore","Non-Ascendas Building","99-year Leasehold",1775,165,3.49,103.8628386,1.312021
"13813","D09","CENTRAL REGION","BOULEVARD","Office","302 orchard road , singapore","Non-Ascendas Building","Freehold",1400,130,9,103.8348476,1.3040511
"13814","D09","CENTRAL REGION","BOULEVARD","Office","302 orchard road , singapore","Non-Ascendas Building","Freehold",1400,130,9,103.8348476,1.3040511
"13815","D15","CENTRAL REGION","GEYLANG EAST","Office","229 joo chiat road , singapore","Non-Ascendas Building","999-year Leasehold",1400,130,1.64,103.9013943,1.3110352
"13816","D08","CENTRAL REGION","LAVENDER","Office","27 foch road , singapore","Non-Ascendas Building","Freehold",461,43,3.9,103.8599445,1.3127026
"13817","D27","NORTH REGION","NORTHLAND","Factory / Workshop","11 yishun industrial street 1 , singapore","Non-Ascendas Building","60-year Leasehold",1538,143,1.95,103.8438026,1.4386743
"13818","D15","CENTRAL REGION","GEYLANG EAST","Office","102 joo chiat road , singapore","Non-Ascendas Building","999-year Leasehold",1480,137,2.03,103.8989048,1.3140976
"13819","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","33 ubi avenue 3 , singapore","Non-Ascendas Building","60-year Leasehold",200,19,4.5,103.8942808,1.333427
"13820","D25","NORTH REGION","GALI BATU","Factory / Workshop","11 mandai estate , singapore","Non-Ascendas Building","Freehold",1800,167,1.78,103.7597825,1.4085887
"13821","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",2185,203,2.2,103.8160436,1.4432352
"13822","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",1668,155,1.8,103.8160436,1.4432352
"13823","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",1668,155,1.26,103.8160436,1.4432352
"13824","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","3d gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",1658,154,1.7,103.8138059,1.4443538
"13825","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","2 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",5253,488,1.48,103.8160436,1.4432352
"13826","D18","EAST REGION","TAMPINES NORTH","Factory / Workshop","1 tampines north drive 1 , singapore","Non-Ascendas Building","Unknown Tenure",2196,204,1.59,103.9331558,1.3721028
