District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,3743,348,3.95
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,2153,200,3.95
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,2895,269,3.95
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,Unknown Tenure ,1008,94,4.5
D17,EAST REGION,LOYANG WEST,Warehouse,19 loyang way,Ascendas Building,,74390,6911,1.6
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,1 jalan kilang timor,Ascendas Building,Unknown Tenure ,5597,520,3
D13,CENTRAL REGION,JOO SENG,Light Industrial,159 kampong ampat,Ascendas Building,,16267,1511,3.2
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,27 international business park,Ascendas Building,,23315,2166,3.5
D22,WEST REGION,TOH GUAN,Light Industrial,10 toh guan,Ascendas Building,,23786,2210,1.9
D17,EAST REGION,LOYANG WEST,Warehouse,19 loyang way,Ascendas Building,,45822,4257,1.45
D22,WEST REGION,TUAS NORTH,Warehouse,20 tuas avenue 1,Ascendas Building,,78778,7319,1.35
D13,CENTRAL REGION,JOO SENG,Light Industrial,150 kampong ampat,Ascendas Building,,4166,387,3.5
D22,WEST REGION,TOH GUAN,Light Industrial,10 toh guan,Ascendas Building,Freehold ,3988,370,3.8
D16,EAST REGION,XILIN,Warehouse,9 changi south street 3,Ascendas Building,,28386,2637,1.6
D16,EAST REGION,XILIN,Warehouse,21 changi south avenue 2,Ascendas Building,,39931,3710,1.6
D22,WEST REGION,TUAS NORTH,Factory / Workshop,20 tuas avenue 1,Ascendas Building,Unknown Tenure ,147587,13711,1.35
D16,EAST REGION,XILIN,Warehouse,7 changi south street 2,Ascendas Building,,27115,2519,1.9
D27,NORTH REGION,SENOKO SOUTH,Light Industrial,2 senoko south,Ascendas Building,,17058,1585,1.8
D17,EAST REGION,CHANGI AIRPORT,Warehouse,71 alps avenue,Ascendas Building,,1779,165,1.5
D22,WEST REGION,TUAS NORTH,Warehouse,20 tuas avenue 1,Ascendas Building,,39338,3655,1.35
D27,NORTH REGION,SENOKO NORTH,Light Industrial,1 senoko avenue,Ascendas Building,30-year Leasehold ,11079,1029,2.7
D12,CENTRAL REGION,KALLANG BAHRU,Light Industrial,80 bendemeer,Ascendas Building,,21851,2030,5.1
D22,WEST REGION,BENOI SECTOR,Warehouse,15 pioneer walk,Ascendas Building,,95947,8914,1.7
D16,EAST REGION,XILIN,Warehouse,21 changi south avenue 2,Ascendas Building,,39930,3710,1.6
D22,WEST REGION,TUAS NORTH,Warehouse,20 tuas avenue 1,Ascendas Building,,68809,6393,1.35
D16,EAST REGION,XILIN,Business / Science Park,1 changi business park central 1,Ascendas Building,,6249,581,5.5
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,3 tai seng drive,Ascendas Building,,26619,2473,1.8
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,3 tai seng drive,Ascendas Building,,9828,913,1.8
D25,NORTH REGION,SENOKO SOUTH,Light Industrial,11 woodlands terrace,Ascendas Building,,31420,2919,2.5
D20,NORTH-EAST REGION,CHONG BOON,Light Industrial,ang mo kio avenue 10,Ascendas Building,,617,57,2.75
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,media circle,Ascendas Building,60-year Leasehold ,1505,140,4.7
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,1359,126,6.5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,2763,257,4.95
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,401,37,6.48
D05,CENTRAL REGION,KENT RIDGE,Business / Science Park,science park drive singapore science park 1,Ascendas Building,,876,81,4.5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,media circle,Ascendas Building,60-year Leasehold ,1904,177,5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,400,37,6.5
D05,CENTRAL REGION,KENT RIDGE,Business / Science Park,science park drive,Ascendas Building,,28022,2603,6.5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,3491,324,6.5
D19,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,53 53 serangoon north ave 4,Ascendas Building,,15633,1452,2.5
D20,NORTH-EAST REGION,CHONG BOON,Light Industrial,ang mo kio avenue 10,Ascendas Building,,2098,195,1.8
D20,NORTH-EAST REGION,KEBUN BAHRU,Light Industrial,ang mo kio avenue 5,Ascendas Building,60-year Leasehold ,2486,231,1.9
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,765,71,6.54
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,2717,252,4.95
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,media circle,Ascendas Building,60-year Leasehold ,3077,286,5.2
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,60-year Leasehold ,589,55,6.45
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,8136,756,4.95
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,media circle,Ascendas Building,60-year Leasehold ,4005,372,5.2
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,578,54,6.57
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,588,55,6.46
D05,CENTRAL REGION,KENT RIDGE,Business / Science Park,science park drvie,Ascendas Building,,45290,4208,6.5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,biopolis,Ascendas Building,,5892,547,4.95
D20,NORTH-EAST REGION,KEBUN BAHRU,Light Industrial,ang mo kio avenue 5,Ascendas Building,,1800,167,1.8
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,jalan kilang,Ascendas Building,,5081,472,3.55
D20,NORTH-EAST REGION,KEBUN BAHRU,Light Industrial,ang mo kio avenue 5,Ascendas Building,,3950,367,1.8
D16,EAST REGION,SIMEI,Warehouse,changi south lane,Ascendas Building,,7998,743,2.1
D13,CENTRAL REGION,SENNETT,Light Industrial,macpherson road,Ascendas Building,,3401,316,3.7
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,5 tuas south street 10,Non-Ascendas Building,30-year Leasehold ,80000,7432,1.7
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,5 tuas south street 8,Non-Ascendas Building,30-year Leasehold ,40000,3716,1.8
D22,WEST REGION,GUL CIRCLE,Factory / Workshop,50 gul crescent,Non-Ascendas Building,60-year Leasehold ,10120,940,1.28
D22,WEST REGION,BENOI SECTOR,Factory / Workshop,40 benoi road,Non-Ascendas Building,60-year Leasehold ,9000,836,1.72
D22,WEST REGION,CHIN BEE,Warehouse,13 chin bee avenue,Non-Ascendas Building,60-year Leasehold ,7500,697,1.5
D22,WEST REGION,TUAS VIEW,Factory / Workshop,31 tuas south street 5,Non-Ascendas Building,60-year Leasehold ,15000,1394,1.25
D22,WEST REGION,TUKANG,Factory / Workshop,international road,Non-Ascendas Building,30-year Leasehold ,12500,1161,1.34
D22,WEST REGION,GUL BASIN,Factory / Workshop,gul road,Non-Ascendas Building,60-year Leasehold ,53000,4924,1.3
D22,WEST REGION,BENOI SECTOR,Factory / Workshop,pioneer road,Non-Ascendas Building,60-year Leasehold ,23000,2137,1.74
D22,WEST REGION,BENOI SECTOR,Warehouse,pioneer road,Non-Ascendas Building,,25000,2323,1.6
D22,WEST REGION,BENOI SECTOR,Factory / Workshop,pioneer road,Non-Ascendas Building,30-year Leasehold ,20970,1948,1.43
D22,WEST REGION,TUAS NORTH,Factory / Workshop,tuas avenue 4,Non-Ascendas Building,60-year Leasehold ,18520,1721,1.73
D19,NORTH-EAST REGION,DEFU INDUSTRIAL PARK,Factory / Workshop,defu lane 1,Non-Ascendas Building,30-year Leasehold ,20000,1858,1.5
D22,WEST REGION,PENJURU CRESCENT,Factory / Workshop,penjuru lane,Non-Ascendas Building,30-year Leasehold ,60000,5574,1.2
D22,WEST REGION,JURONG RIVER,Factory / Workshop,penjuru place,Non-Ascendas Building,30-year Leasehold ,30000,2787,1.2
